isolate,species_final,st,species_st,species_clean,year,acc_coll_date,assembly,period,rep_type_clean,mobtyper_cluster,fusion_status,total_species_st,species_st_clean,plasmid,flanker_window_cluster,flanker_window,flanker_cluster
CPO013,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_CPO019,1500_0,1500,0
CPO013,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_CPO019,2000_0,2000,0
CPO013,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_CPO019,2500_0,2500,0
CPO013,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_CPO019,3000_0,3000,0
CPO013,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_CPO019,3500_4,3500,4
CPO013,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_CPO019,4000_4,4000,4
CPO013,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_CPO019,4500_1,4500,1
CPO013,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_CPO019,500_0,500,0
CPO013,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_CPO019,5000_2,5000,2
CPO014,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,30/1/2019,illumina,2016-2020,IncHI2A (AA739 AJ058),NA,NA,36,Enterobacter hormaechei 93,IncHI2_CPO017,NA,NA,NA
CPO016,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,30/1/2019,illumina,2016-2020,IncHI2A (AA739 AJ058),NA,NA,36,Enterobacter hormaechei 93,IncHI2_CPO017,NA,NA,NA
CPO017,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,30/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,0_0,0,0
CPO017,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,30/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,1000_0,1000,0
CPO017,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,30/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,1500_0,1500,0
CPO017,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,30/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,2000_0,2000,0
CPO017,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,30/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,2500_0,2500,0
CPO017,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,30/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,3000_0,3000,0
CPO017,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,30/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,3500_4,3500,4
CPO017,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,30/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,4000_4,4000,4
CPO017,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,30/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,4500_1,4500,1
CPO017,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,30/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,500_0,500,0
CPO017,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,30/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,5000_2,5000,2
CPO019,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,26/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,0_0,0,0
CPO019,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,26/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,1000_0,1000,0
CPO019,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,26/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,1500_0,1500,0
CPO019,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,26/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,2000_0,2000,0
CPO019,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,26/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,2500_0,2500,0
CPO019,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,26/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,3000_0,3000,0
CPO019,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,26/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,3500_4,3500,4
CPO019,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,26/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,4000_4,4000,4
CPO019,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,26/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,4500_1,4500,1
CPO019,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,26/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,500_0,500,0
CPO019,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,26/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,5000_2,5000,2
CPO020,Enterobacter hormaechei,134,Enterobacter hormaechei 134,Enterobacter cloacae complex,2019,25/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,1,Enterobacter cloacae complex - Other STs,IncHI2_CPO017,0_0,0,0
CPO020,Enterobacter hormaechei,134,Enterobacter hormaechei 134,Enterobacter cloacae complex,2019,25/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,1,Enterobacter cloacae complex - Other STs,IncHI2_CPO017,1000_0,1000,0
CPO020,Enterobacter hormaechei,134,Enterobacter hormaechei 134,Enterobacter cloacae complex,2019,25/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,1,Enterobacter cloacae complex - Other STs,IncHI2_CPO017,1500_0,1500,0
CPO020,Enterobacter hormaechei,134,Enterobacter hormaechei 134,Enterobacter cloacae complex,2019,25/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,1,Enterobacter cloacae complex - Other STs,IncHI2_CPO017,2000_0,2000,0
CPO020,Enterobacter hormaechei,134,Enterobacter hormaechei 134,Enterobacter cloacae complex,2019,25/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,1,Enterobacter cloacae complex - Other STs,IncHI2_CPO017,2500_0,2500,0
CPO020,Enterobacter hormaechei,134,Enterobacter hormaechei 134,Enterobacter cloacae complex,2019,25/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,1,Enterobacter cloacae complex - Other STs,IncHI2_CPO017,3000_0,3000,0
CPO020,Enterobacter hormaechei,134,Enterobacter hormaechei 134,Enterobacter cloacae complex,2019,25/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,1,Enterobacter cloacae complex - Other STs,IncHI2_CPO017,3500_4,3500,4
CPO020,Enterobacter hormaechei,134,Enterobacter hormaechei 134,Enterobacter cloacae complex,2019,25/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,1,Enterobacter cloacae complex - Other STs,IncHI2_CPO017,4000_4,4000,4
CPO020,Enterobacter hormaechei,134,Enterobacter hormaechei 134,Enterobacter cloacae complex,2019,25/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,1,Enterobacter cloacae complex - Other STs,IncHI2_CPO017,4500_1,4500,1
CPO020,Enterobacter hormaechei,134,Enterobacter hormaechei 134,Enterobacter cloacae complex,2019,25/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,1,Enterobacter cloacae complex - Other STs,IncHI2_CPO017,500_0,500,0
CPO020,Enterobacter hormaechei,134,Enterobacter hormaechei 134,Enterobacter cloacae complex,2019,25/1/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,1,Enterobacter cloacae complex - Other STs,IncHI2_CPO017,5000_2,5000,2
CPO021,Klebsiella variicola,3206,Klebsiella variicola 3206,Klebsiella pneumoniae complex,2019,24/1/2019,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,0_0,0,0
CPO021,Klebsiella variicola,3206,Klebsiella variicola 3206,Klebsiella pneumoniae complex,2019,24/1/2019,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,1000_0,1000,0
CPO021,Klebsiella variicola,3206,Klebsiella variicola 3206,Klebsiella pneumoniae complex,2019,24/1/2019,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,1500_2,1500,2
CPO021,Klebsiella variicola,3206,Klebsiella variicola 3206,Klebsiella pneumoniae complex,2019,24/1/2019,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,2000_2,2000,2
CPO021,Klebsiella variicola,3206,Klebsiella variicola 3206,Klebsiella pneumoniae complex,2019,24/1/2019,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,2500_3,2500,3
CPO021,Klebsiella variicola,3206,Klebsiella variicola 3206,Klebsiella pneumoniae complex,2019,24/1/2019,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,3000_4,3000,4
CPO021,Klebsiella variicola,3206,Klebsiella variicola 3206,Klebsiella pneumoniae complex,2019,24/1/2019,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,3500_2,3500,2
CPO021,Klebsiella variicola,3206,Klebsiella variicola 3206,Klebsiella pneumoniae complex,2019,24/1/2019,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,4000_3,4000,3
CPO021,Klebsiella variicola,3206,Klebsiella variicola 3206,Klebsiella pneumoniae complex,2019,24/1/2019,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,4500_3,4500,3
CPO021,Klebsiella variicola,3206,Klebsiella variicola 3206,Klebsiella pneumoniae complex,2019,24/1/2019,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,500_0,500,0
CPO021,Klebsiella variicola,3206,Klebsiella variicola 3206,Klebsiella pneumoniae complex,2019,24/1/2019,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Klebsiella pneumoniae complex - Other STs,IncLM_CPO078,5000_6,5000,6
CPO022,Enterobacter hormaechei,114,Enterobacter hormaechei 114,Enterobacter cloacae complex,2019,24/1/2019,illumina,2016-2020,IncFIA/IncFIB/IncP (AD444 AN003),NA,NA,23,Enterobacter hormaechei 114,IncFIB_CPO009,NA,NA,NA
CPO023,Escherichia coli,2144,Escherichia coli 2144,Escherichia coli,2019,23/1/2019,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Escherichia coli - Other STs,IncLM_CPO078,0_0,0,0
CPO023,Escherichia coli,2144,Escherichia coli 2144,Escherichia coli,2019,23/1/2019,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Escherichia coli - Other STs,IncLM_CPO078,1000_0,1000,0
CPO023,Escherichia coli,2144,Escherichia coli 2144,Escherichia coli,2019,23/1/2019,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Escherichia coli - Other STs,IncLM_CPO078,1500_2,1500,2
CPO023,Escherichia coli,2144,Escherichia coli 2144,Escherichia coli,2019,23/1/2019,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Escherichia coli - Other STs,IncLM_CPO078,2000_2,2000,2
CPO023,Escherichia coli,2144,Escherichia coli 2144,Escherichia coli,2019,23/1/2019,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Escherichia coli - Other STs,IncLM_CPO078,2500_4,2500,4
CPO023,Escherichia coli,2144,Escherichia coli 2144,Escherichia coli,2019,23/1/2019,hybrid,2016-2020,IncL/M (AA002 AH532),AA002_AH532,non_fusion,1,Escherichia coli - Other STs,IncLM_CPO078,3000_5,3000,5
