,CPO002-Entcpx-02-21,CPO008-Entcpx-02-21,CPO011-Entcpx-02-21,CPO014-Entcpx-02-21,CPO016-Entcpx-02-21,CPO017,CPO049,CPO050-Entcpx-02-21,CPO052,CPO055,CPO056-Entcpx-02-21,CPO073-Entcpx-02-21,CPO089,CPO092,CPO098-Entcpx-02-21,CPO189-Entcpx-02-21,CPO190-Entcpx-02-21,CPO191-Entcpx-02-21,CPO214-Entcpx-02-21,CPO229-Entcpx-02-21,CPO242-Entcpx-02-21,CPO248-Entcpx-02-21,CPO251-Entcpx-02-21,CPO264-Entcpx-02-21,CPO267-Entcpx-02-21,CPO278-Entcpx-02-21,CPO285-Entcpx-02-21,CPO286-Entcpx-02-21,CPO291-Entcpx-02-21,CPO292-Entcpx-02-21,CPO303-Entcpx-02-21,CPO312-Entcpx-02-21,CPO320-Entcpx-02-21,CPO337-Entcpx-02-21,CPO398-Entcpx-02-21,CPO399,GCF_000534555,GCF_000534635,GCF_000534695,GCF_000534795,GCF_000724505,GCF_001022015,GCF_001022055,GCF_001022075,GCF_001022255,GCF_001472075,GCF_001472115,GCF_001472435,GCF_001472475,GCF_001472535,GCF_001472835,GCF_001472875,GCF_001525095,GCF_001525425,GCF_001525465,GCF_001525475,GCF_001874505,GCF_002246615,GCF_002850625,GCF_002858545,GCF_002918735,GCF_003176055,GCF_003176615,GCF_003288475,GCF_003693465,GCF_008368605,GCF_008368665,GCF_008369005,GCF_008369025,GCF_008641355,GCF_009887805,GCF_009887815,GCF_009888045,GCF_009888085,GCF_010588385,GCF_011006945,GCF_900075175,GCF_900075945,GCF_900077115,GCF_900077735,GCF_900558255,Reference
CPO056-Entcpx-02-21,1,0,1,0,1,1,1,0,1,0,,10,20,15,12,3,29,0,28,0,0,0,1,1,10,2,2,10,2,2,3,3,11,11,8,7,294,240,293,288,289,284,281,281,283,293,240,235,246,240,250,257,266,192,269,340,281,345,306,254,289,721,289,240,106,257,257,245,239,259,245,245,256,256,330,340,284,599,227,269,680,18
CPO073-Entcpx-02-21,11,10,11,10,11,11,11,10,11,10,10,,16,11,8,13,25,10,24,10,10,10,11,11,6,12,12,6,12,12,13,13,7,7,4,3,290,236,289,284,285,280,277,277,279,289,236,231,242,236,246,253,262,188,265,336,277,341,302,250,285,717,285,236,102,253,253,241,235,255,241,241,252,252,326,336,280,595,223,265,676,14
CPO089,21,20,21,20,21,21,21,20,21,20,20,16,,15,18,23,23,20,22,20,20,20,21,21,16,22,22,16,22,22,23,23,17,17,14,13,288,234,287,282,283,278,275,275,277,287,234,229,240,234,244,251,260,186,263,334,275,339,300,248,283,715,283,234,100,251,251,239,233,253,239,239,250,250,324,334,278,593,221,263,674,18
CPO092,16,15,16,15,16,16,16,15,16,15,15,11,15,,13,18,24,15,23,15,15,15,16,16,11,17,17,11,17,17,18,18,12,12,9,8,289,235,288,283,284,279,276,276,278,288,235,230,241,235,245,252,261,187,264,335,276,340,301,249,284,716,284,235,101,252,252,240,234,254,240,240,251,251,325,335,279,594,222,264,675,11
CPO098-Entcpx-02-21,13,12,13,12,13,13,13,12,13,12,12,8,18,13,,15,27,12,26,12,12,12,13,13,8,14,14,8,14,14,15,15,9,9,6,5,292,238,291,286,287,282,279,279,281,291,238,233,244,238,248,255,264,190,267,338,279,343,304,252,287,719,287,238,104,255,255,243,237,257,243,243,254,254,328,338,282,597,225,267,678,16
CPO189-Entcpx-02-21,4,3,4,3,4,4,4,3,4,3,3,13,23,18,15,,32,3,31,3,3,3,4,4,13,5,5,13,5,5,6,6,14,14,11,10,297,243,296,291,292,287,284,284,286,296,243,238,249,243,253,260,269,195,272,343,284,348,309,257,292,724,292,243,109,260,260,248,242,262,248,248,259,259,333,343,287,602,230,272,683,21
CPO190-Entcpx-02-21,30,29,30,29,30,30,30,29,30,29,29,25,23,24,27,32,,29,3,29,29,29,30,30,25,31,31,25,31,31,32,32,26,26,23,22,297,243,296,291,292,287,284,284,286,296,243,238,249,243,253,260,269,195,272,343,284,348,309,257,292,724,292,243,109,260,260,248,242,262,248,248,259,259,333,343,287,602,230,272,683,27
CPO191-Entcpx-02-21,1,0,1,0,1,1,1,0,1,0,0,10,20,15,12,3,29,,28,0,0,0,1,1,10,2,2,10,2,2,3,3,11,11,8,7,294,240,293,288,289,284,281,281,283,293,240,235,246,240,250,257,266,192,269,340,281,345,306,254,289,721,289,240,106,257,257,245,239,259,245,245,256,256,330,340,284,599,227,269,680,18
CPO214-Entcpx-02-21,29,28,29,28,29,29,29,28,29,28,28,24,22,23,26,31,3,28,,28,28,28,29,29,24,30,30,24,30,30,31,31,25,25,22,21,296,242,295,290,291,286,283,283,285,295,242,237,248,242,252,259,268,194,271,342,283,347,308,256,291,723,291,242,108,259,259,247,241,261,247,247,258,258,332,342,286,601,229,271,682,26
CPO229-Entcpx-02-21,1,0,1,0,1,1,1,0,1,0,0,10,20,15,12,3,29,0,28,,0,0,1,1,10,2,2,10,2,2,3,3,11,11,8,7,294,240,293,288,289,284,281,281,283,293,240,235,246,240,250,257,266,192,269,340,281,345,306,254,289,721,289,240,106,257,257,245,239,259,245,245,256,256,330,340,284,599,227,269,680,18
CPO242-Entcpx-02-21,1,0,1,0,1,1,1,0,1,0,0,10,20,15,12,3,29,0,28,0,,0,1,1,10,2,2,10,2,2,3,3,11,11,8,7,294,240,293,288,289,284,281,281,283,293,240,235,246,240,250,257,266,192,269,340,281,345,306,254,289,721,289,240,106,257,257,245,239,259,245,245,256,256,330,340,284,599,227,269,680,18
CPO248-Entcpx-02-21,1,0,1,0,1,1,1,0,1,0,0,10,20,15,12,3,29,0,28,0,0,,1,1,10,2,2,10,2,2,3,3,11,11,8,7,294,240,293,288,289,284,281,281,283,293,240,235,246,240,250,257,266,192,269,340,281,345,306,254,289,721,289,240,106,257,257,245,239,259,245,245,256,256,330,340,284,599,227,269,680,18
CPO251-Entcpx-02-21,0,1,2,1,0,0,2,1,2,1,1,11,21,16,13,4,30,1,29,1,1,1,,2,11,1,3,11,1,1,2,4,12,12,9,8,295,241,294,289,290,285,282,282,284,294,241,236,247,241,251,258,267,193,270,341,282,346,307,255,290,722,290,241,107,258,258,246,240,260,246,246,257,257,331,341,285,600,228,270,681,19
CPO264-Entcpx-02-21,2,1,2,1,2,2,2,1,2,1,1,11,21,16,13,4,30,1,29,1,1,1,2,,11,3,1,11,3,3,4,4,12,12,9,8,295,241,294,289,290,285,282,282,284,294,241,236,247,241,251,258,267,193,270,341,282,346,307,255,290,722,290,241,107,258,258,246,240,260,246,246,257,257,331,341,285,600,228,270,681,19
CPO267-Entcpx-02-21,11,10,11,10,11,11,11,10,11,10,10,6,16,11,8,13,25,10,24,10,10,10,11,11,,12,12,2,12,12,13,13,7,7,4,3,290,236,289,284,285,280,277,277,279,289,236,231,242,236,246,253,262,188,265,336,277,341,302,250,285,717,285,236,102,253,253,241,235,255,241,241,252,252,326,336,280,595,223,265,676,14
CPO278-Entcpx-02-21,1,2,3,2,1,1,3,2,3,2,2,12,22,17,14,5,31,2,30,2,2,2,1,3,12,,4,12,0,0,3,5,13,13,10,9,296,242,295,290,291,286,283,283,285,295,242,237,248,242,252,259,268,194,271,342,283,347,308,256,291,723,291,242,108,259,259,247,241,261,247,247,258,258,332,342,286,601,229,271,682,20
CPO285-Entcpx-02-21,3,2,3,2,3,3,3,2,3,2,2,12,22,17,14,5,31,2,30,2,2,2,3,1,12,4,,12,4,4,5,5,13,13,10,9,296,242,295,290,291,286,283,283,285,295,242,237,248,242,252,259,268,194,271,342,283,347,308,256,291,723,291,242,108,259,259,247,241,261,247,247,258,258,332,342,286,601,229,271,682,20
CPO286-Entcpx-02-21,11,10,11,10,11,11,11,10,11,10,10,6,16,11,8,13,25,10,24,10,10,10,11,11,2,12,12,,12,12,13,13,7,7,4,3,290,236,289,284,285,280,277,277,279,289,236,231,242,236,246,253,262,188,265,336,277,341,302,250,285,717,285,236,102,253,253,241,235,255,241,241,252,252,326,336,280,595,223,265,676,14
CPO291-Entcpx-02-21,1,2,3,2,1,1,3,2,3,2,2,12,22,17,14,5,31,2,30,2,2,2,1,3,12,0,4,12,,0,3,5,13,13,10,9,296,242,295,290,291,286,283,283,285,295,242,237,248,242,252,259,268,194,271,342,283,347,308,256,291,723,291,242,108,259,259,247,241,261,247,247,258,258,332,342,286,601,229,271,682,20
CPO292-Entcpx-02-21,1,2,3,2,1,1,3,2,3,2,2,12,22,17,14,5,31,2,30,2,2,2,1,3,12,0,4,12,0,,3,5,13,13,10,9,296,242,295,290,291,286,283,283,285,295,242,237,248,242,252,259,268,194,271,342,283,347,308,256,291,723,291,242,108,259,259,247,241,261,247,247,258,258,332,342,286,601,229,271,682,20
CPO303-Entcpx-02-21,2,3,4,3,2,2,4,3,4,3,3,13,23,18,15,6,32,3,31,3,3,3,2,4,13,3,5,13,3,3,,6,14,14,11,10,297,243,296,291,292,287,284,284,286,296,243,238,249,243,253,260,269,195,272,343,284,348,309,257,292,724,292,243,109,260,260,248,242,262,248,248,259,259,333,343,287,602,230,272,683,21
CPO312-Entcpx-02-21,4,3,4,3,4,4,4,3,4,3,3,13,23,18,15,6,32,3,31,3,3,3,4,4,13,5,5,13,5,5,6,,14,14,11,10,297,243,296,291,292,287,284,284,286,296,243,238,249,243,253,260,269,195,272,343,284,348,309,257,292,724,292,243,109,260,260,248,242,262,248,248,259,259,333,343,287,602,230,272,683,21
CPO320-Entcpx-02-21,12,11,12,11,12,12,12,11,12,11,11,7,17,12,9,14,26,11,25,11,11,11,12,12,7,13,13,7,13,13,14,14,,2,5,4,291,237,290,285,286,281,278,278,280,290,237,232,243,237,247,254,263,189,266,337,278,342,303,251,286,718,286,237,103,254,254,242,236,256,242,242,253,253,327,337,281,596,224,266,677,15
CPO337-Entcpx-02-21,12,11,12,11,12,12,12,11,12,11,11,7,17,12,9,14,26,11,25,11,11,11,12,12,7,13,13,7,13,13,14,14,2,,5,4,291,237,290,285,286,281,278,278,280,290,237,232,243,237,247,254,263,189,266,337,278,342,303,251,286,718,286,237,103,254,254,242,236,256,242,242,253,253,327,337,281,596,224,266,677,15
CPO398-Entcpx-02-21,9,8,9,8,9,9,9,8,9,8,8,4,14,9,6,11,23,8,22,8,8,8,9,9,4,10,10,4,10,10,11,11,5,5,,1,288,234,287,282,283,278,275,275,277,287,234,229,240,234,244,251,260,186,263,334,275,339,300,248,283,715,283,234,100,251,251,239,233,253,239,239,250,250,324,334,278,593,221,263,674,12
CPO399,8,7,8,7,8,8,8,7,8,7,7,3,13,8,5,10,22,7,21,7,7,7,8,8,3,9,9,3,9,9,10,10,4,4,1,,287,233,286,281,282,277,274,274,276,286,233,228,239,233,243,250,259,185,262,333,274,338,299,247,282,714,282,233,99,250,250,238,232,252,238,238,249,249,323,333,277,592,220,262,673,11
GCF_000534555,295,294,295,294,295,295,295,294,295,294,294,290,288,289,292,297,297,294,296,294,294,294,295,295,290,296,296,290,296,296,297,297,291,291,288,287,,330,188,183,184,179,176,176,178,73,331,326,337,331,341,348,357,353,360,431,176,436,397,345,184,815,380,330,290,348,348,336,330,169,336,336,347,347,110,430,194,691,299,341,774,292
GCF_000534635,241,240,241,240,241,241,241,240,241,240,240,236,234,235,238,243,243,240,242,240,240,240,241,241,236,242,242,236,242,242,243,243,237,237,234,233,330,,330,325,326,321,318,318,320,329,205,200,211,205,215,222,231,299,234,305,318,310,271,219,326,761,324,0,236,222,222,210,204,297,210,210,221,221,366,192,322,637,265,307,720,238
GCF_000534695,294,293,294,293,294,294,294,293,294,293,293,289,287,288,291,296,296,293,295,293,293,293,294,294,289,295,295,289,295,295,296,296,290,290,287,286,188,330,,9,44,39,36,36,38,187,327,322,333,327,337,344,353,348,356,427,36,432,393,341,44,814,376,330,289,344,344,332,326,168,332,332,343,343,224,430,193,691,298,340,773,291
GCF_000534795,289,288,289,288,289,289,289,288,289,288,288,284,282,283,286,291,291,288,290,288,288,288,289,289,284,290,290,284,290,290,291,291,285,285,282,281,183,325,9,,39,34,31,31,33,182,322,317,328,322,332,339,348,343,351,422,31,427,388,336,39,809,371,325,284,339,339,327,321,163,327,327,338,338,219,425,188,686,293,335,768,286
GCF_000724505,290,289,290,289,290,290,290,289,290,289,289,285,283,284,287,292,292,289,291,289,289,289,290,290,285,291,291,285,291,291,292,292,286,286,283,282,184,326,44,39,,35,32,32,34,183,323,318,329,323,333,340,349,344,352,423,32,428,389,337,2,810,372,326,285,340,340,328,322,164,328,328,339,339,220,426,189,687,294,336,769,287
GCF_001022015,285,284,285,284,285,285,285,284,285,284,284,280,278,279,282,287,287,284,286,284,284,284,285,285,280,286,286,280,286,286,287,287,281,281,278,277,179,321,39,34,35,,5,5,7,178,318,313,324,318,328,335,344,339,347,418,3,423,384,332,35,805,367,321,280,335,335,323,317,159,323,323,334,334,215,421,184,682,289,331,764,282
GCF_001022055,282,281,282,281,282,282,282,281,282,281,281,277,275,276,279,284,284,281,283,281,281,281,282,282,277,283,283,277,283,283,284,284,278,278,275,274,176,318,36,31,32,5,,2,4,175,315,310,321,315,325,332,341,336,344,415,2,420,381,329,32,802,364,318,277,332,332,320,314,156,320,320,331,331,212,418,181,679,286,328,761,279
GCF_001022075,282,281,282,281,282,282,282,281,282,281,281,277,275,276,279,284,284,281,283,281,281,281,282,282,277,283,283,277,283,283,284,284,278,278,275,274,176,318,36,31,32,5,2,,4,175,315,310,321,315,325,332,341,336,344,415,2,420,381,329,32,802,364,318,277,332,332,320,314,156,320,320,331,331,212,418,181,679,286,328,761,279
GCF_001022255,284,283,284,283,284,284,284,283,284,283,283,279,277,278,281,286,286,283,285,283,283,283,284,284,279,285,285,279,285,285,286,286,280,280,277,276,178,320,38,33,34,7,4,4,,177,317,312,323,317,327,334,343,338,346,417,4,422,383,331,34,804,366,320,279,334,334,322,316,158,322,322,333,333,214,420,183,681,288,330,763,281
GCF_001472075,294,293,294,293,294,294,294,293,294,293,293,289,287,288,291,296,296,293,295,293,293,293,294,294,289,295,295,289,295,295,296,296,290,290,287,286,73,329,187,182,183,178,175,175,177,,330,325,336,330,340,347,356,352,359,430,175,435,396,344,183,814,379,329,289,347,347,335,329,168,335,335,346,346,103,429,193,690,298,340,773,291
GCF_001472115,241,240,241,240,241,241,241,240,241,240,240,236,234,235,238,243,243,240,242,240,240,240,241,241,236,242,242,236,242,242,243,243,237,237,234,233,331,205,327,322,323,318,315,315,317,330,,119,56,52,62,69,78,296,81,220,315,223,190,138,323,761,323,205,236,137,137,125,119,297,125,125,136,136,367,305,322,638,265,307,720,238
GCF_001472435,236,235,236,235,236,236,236,235,236,235,235,231,229,230,233,238,238,235,237,235,235,235,236,236,231,237,237,231,237,237,238,238,232,232,229,228,326,200,322,317,318,313,310,310,312,325,119,,125,119,129,136,143,291,148,219,310,224,177,125,318,756,318,200,231,136,136,124,118,292,124,124,135,135,362,300,317,633,260,302,715,233
GCF_001472475,247,246,247,246,247,247,247,246,247,246,246,242,240,241,244,249,249,246,248,246,246,246,247,247,242,248,248,242,248,248,249,249,243,243,240,239,337,211,333,328,329,324,321,321,323,336,56,125,,26,24,73,40,302,43,226,321,229,196,144,329,767,329,211,242,143,143,131,125,303,131,131,142,142,373,311,328,644,271,313,726,244
GCF_001472535,241,240,241,240,241,241,241,240,241,240,240,236,234,235,238,243,243,240,242,240,240,240,241,241,236,242,242,236,242,242,243,243,237,237,234,233,331,205,327,322,323,318,315,315,317,330,52,119,26,,30,67,46,296,49,218,315,225,190,138,323,761,323,205,236,137,137,125,119,297,125,125,136,136,367,305,322,638,265,307,720,238
GCF_001472835,251,250,251,250,251,251,251,250,251,250,250,246,244,245,248,253,253,250,252,250,250,250,251,251,246,252,252,246,252,252,253,253,247,247,244,243,341,215,337,332,333,328,325,325,327,340,62,129,24,30,,77,44,306,47,230,325,235,200,148,333,771,333,215,246,147,147,135,129,307,135,135,146,146,377,315,332,648,275,317,730,248
GCF_001472875,258,257,258,257,258,258,258,257,258,257,257,253,251,252,255,260,260,257,259,257,257,257,258,258,253,259,259,253,259,259,260,260,254,254,251,250,348,222,344,339,340,335,332,332,334,347,69,136,73,67,77,,93,313,96,237,332,240,207,155,340,778,340,222,253,154,154,142,136,314,142,142,153,153,384,322,339,655,282,324,737,255
GCF_001525095,267,266,267,266,267,267,267,266,267,266,266,262,260,261,264,269,269,266,268,266,266,266,267,267,262,268,268,262,268,268,269,269,263,263,260,259,357,231,353,348,349,344,341,341,343,356,78,143,40,46,44,93,,322,19,246,341,251,216,164,349,787,349,231,262,163,163,151,145,323,151,151,162,162,393,331,348,664,291,333,746,264
GCF_001525425,193,192,193,192,193,193,193,192,193,192,192,188,186,187,190,195,195,192,194,192,192,192,193,193,188,194,194,188,194,194,195,195,189,189,186,185,353,299,348,343,344,339,336,336,338,352,296,291,302,296,306,313,322,,325,396,336,401,362,310,344,781,345,299,188,313,313,301,295,319,301,301,312,312,389,399,344,658,287,329,740,190
GCF_001525465,270,269,270,269,270,270,270,269,270,269,269,265,263,264,267,272,272,269,271,269,269,269,270,270,265,271,271,265,271,271,272,272,266,266,263,262,360,234,356,351,352,347,344,344,346,359,81,148,43,49,47,96,19,325,,249,344,254,219,167,352,790,352,234,265,166,166,154,148,326,154,154,165,165,396,334,351,667,294,336,749,267
GCF_001525475,341,340,341,340,341,341,341,340,341,340,340,336,334,335,338,343,343,340,342,340,340,340,341,341,336,342,342,336,342,342,343,343,337,337,334,333,431,305,427,422,423,418,415,415,417,430,220,219,226,218,230,237,246,396,249,,415,27,290,238,423,861,423,305,336,237,237,217,210,397,217,217,228,228,467,405,422,738,365,407,820,338
GCF_001874505,282,281,282,281,282,282,282,281,282,281,281,277,275,276,279,284,284,281,283,281,281,281,282,282,277,283,283,277,283,283,284,284,278,278,275,274,176,318,36,31,32,3,2,2,4,175,315,310,321,315,325,332,341,336,344,415,,420,381,329,32,802,364,318,277,332,332,320,314,156,320,320,331,331,212,418,181,679,286,328,761,279
GCF_002246615,346,345,346,345,346,346,346,345,346,345,345,341,339,340,343,348,348,345,347,345,345,345,346,346,341,347,347,341,347,347,348,348,342,342,339,338,436,310,432,427,428,423,420,420,422,435,223,224,229,225,235,240,251,401,254,27,420,,295,243,428,866,428,310,341,242,242,222,215,402,222,222,233,233,472,410,427,743,370,412,825,343
GCF_002850625,307,306,307,306,307,307,307,306,307,306,306,302,300,301,304,309,309,306,308,306,306,306,307,307,302,308,308,302,308,308,309,309,303,303,300,299,397,271,393,388,389,384,381,381,383,396,190,177,196,190,200,207,216,362,219,290,381,295,,196,389,827,389,271,302,207,207,195,189,363,195,195,206,206,433,371,388,704,331,373,786,304
GCF_002858545,255,254,255,254,255,255,255,254,255,254,254,250,248,249,252,257,257,254,256,254,254,254,255,255,250,256,256,250,256,256,257,257,251,251,248,247,345,219,341,336,337,332,329,329,331,344,138,125,144,138,148,155,164,310,167,238,329,243,196,,337,775,337,219,250,155,155,143,137,311,143,143,154,154,381,319,336,652,279,321,734,252
GCF_002918735,290,289,290,289,290,290,290,289,290,289,289,285,283,284,287,292,292,289,291,289,289,289,290,290,285,291,291,285,291,291,292,292,286,286,283,282,184,326,44,39,2,35,32,32,34,183,323,318,329,323,333,340,349,344,352,423,32,428,389,337,,810,372,326,285,340,340,328,322,164,328,328,339,339,220,426,189,687,294,336,769,287
GCF_003176055,722,721,722,721,722,722,722,721,722,721,721,717,715,716,719,724,724,721,723,721,721,721,722,722,717,723,723,717,723,723,724,724,718,718,715,714,815,761,814,809,810,805,802,802,804,814,761,756,767,761,771,778,787,781,790,861,802,866,827,775,810,,810,761,717,778,778,766,760,780,766,766,777,777,851,861,805,472,747,789,553,719
GCF_003176615,290,289,290,289,290,290,290,289,290,289,289,285,283,284,287,292,292,289,291,289,289,289,290,290,285,291,291,285,291,291,292,292,286,286,283,282,380,324,376,371,372,367,364,364,366,379,323,318,329,323,333,340,349,345,352,423,364,428,389,337,372,810,,324,285,340,340,328,322,346,328,328,339,339,414,424,371,685,314,356,769,287
GCF_003288475,241,240,241,240,241,241,241,240,241,240,240,236,234,235,238,243,243,240,242,240,240,240,241,241,236,242,242,236,242,242,243,243,237,237,234,233,330,0,330,325,326,321,318,318,320,329,205,200,211,205,215,222,231,299,234,305,318,310,271,219,326,761,324,,236,222,222,210,204,297,210,210,221,221,366,192,322,637,265,307,720,238
GCF_003693465,107,106,107,106,107,107,107,106,107,106,106,102,100,101,104,109,109,106,108,106,106,106,107,107,102,108,108,102,108,108,109,109,103,103,100,99,290,236,289,284,285,280,277,277,279,289,236,231,242,236,246,253,262,188,265,336,277,341,302,250,285,717,285,236,,253,253,241,235,255,241,241,252,252,326,336,280,595,223,265,676,104
GCF_008368605,258,257,258,257,258,258,258,257,258,257,257,253,251,252,255,260,260,257,259,257,257,257,258,258,253,259,259,253,259,259,260,260,254,254,251,250,348,222,344,339,340,335,332,332,334,347,137,136,143,137,147,154,163,313,166,237,332,242,207,155,340,778,340,222,253,,0,142,136,314,142,142,153,153,384,322,339,655,282,324,737,255
GCF_008368665,258,257,258,257,258,258,258,257,258,257,257,253,251,252,255,260,260,257,259,257,257,257,258,258,253,259,259,253,259,259,260,260,254,254,251,250,348,222,344,339,340,335,332,332,334,347,137,136,143,137,147,154,163,313,166,237,332,242,207,155,340,778,340,222,253,0,,142,136,314,142,142,153,153,384,322,339,655,282,324,737,255
GCF_008369005,246,245,246,245,246,246,246,245,246,245,245,241,239,240,243,248,248,245,247,245,245,245,246,246,241,247,247,241,247,247,248,248,242,242,239,238,336,210,332,327,328,323,320,320,322,335,125,124,131,125,135,142,151,301,154,217,320,222,195,143,328,766,328,210,241,142,142,,22,302,90,90,101,101,372,310,327,643,270,312,725,243
GCF_008369025,240,239,240,239,240,240,240,239,240,239,239,235,233,234,237,242,242,239,241,239,239,239,240,240,235,241,241,235,241,241,242,242,236,236,233,232,330,204,326,321,322,317,314,314,316,329,119,118,125,119,129,136,145,295,148,210,314,215,189,137,322,760,322,204,235,136,136,22,,296,84,84,95,95,366,304,321,637,264,306,719,237
GCF_008641355,260,259,260,259,260,260,260,259,260,259,259,255,253,254,257,262,262,259,261,259,259,259,260,260,255,261,261,255,261,261,262,262,256,256,253,252,169,297,168,163,164,159,156,156,158,168,297,292,303,297,307,314,323,319,326,397,156,402,363,311,164,780,346,297,255,314,314,302,296,,301,301,313,313,205,397,159,658,264,306,739,257
GCF_009887805,246,245,246,245,246,246,246,245,246,245,245,241,239,240,243,248,248,245,247,245,245,245,246,246,241,247,247,241,247,247,248,248,242,242,239,238,336,210,332,327,328,323,320,320,322,335,125,124,131,125,135,142,151,301,154,217,320,222,195,143,328,766,328,210,241,142,142,90,84,301,,0,55,55,372,310,327,643,270,312,725,243
